"g3_id","g1_race","g1_male","g2_male","g3_male","g1_age","g2_age","g3_age","g3_edu_highest","g2_edu_highest","g1_edu_highest","g3_edu_years","g2_edu_years","g1_edu_years","g3_house_value","g2_house_value","g1_house_value","g3_poor_srh","g2_poor_srh","g1_poor_srh","g1_weight","g3_house_value_quintile","g3_house_value_percentile","g2_house_value_quintile","g2_house_value_percentile","g1_house_value_quintile","g1_house_value_percentile","n","pweight_1","id","g1_white","g1_agesq","g1_edu_cat","g2_agesq","g2_edu_cat","g3_agesq","g3_edu_cat","hs_or_less"
6605032,"black",0.5,0,1,46,26.5,34,2,2,1,12,10.5,9.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6605032,0,2116,"less_hs",702.25,"hs",1156,"hs","less"
6615034,"black",0.5,1,1,42,32.5,30,5,4,1,17,15.8333333333333,6.5,75000,76990,30858.3094827586,1,0,0,3,1,20,2,44,1,13,1,3,6615034,0,1764,"less_hs",1056.25,"college",900,"higher","less"
6615030,"black",0.5,0,1,42,30.8333333333333,38,2,2,1,12,12,6.5,73750.99,137690.62,30858.3094827586,0,0,0,3,1,19,3,69,1,13,1,3,6615030,0,1764,"less_hs",950.694444444444,"hs",1444,"hs","less"
6615033,"black",0.5,0,1,42,30.8333333333333,31,3,2,1,14,12,6.5,0,137690.62,30858.3094827586,0,0,0,3,0,0,3,69,1,13,1,3,6615033,0,1764,"less_hs",950.694444444444,"hs",961,"some_college","less"
6616032,"black",0.5,0,0,45,32.5,33,1,3,1,11,14.1666666666667,7.5,0,34513.8,0,0,0,0,3,0,0,1,22,0,0,1,3,6616032,0,2025,"less_hs",1056.25,"some_college",1089,"less_hs","less"
6616033,"black",0.5,1,1,45,29.5,30,3,1,1,13,9.83333333333333,7.5,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,6616033,0,2025,"less_hs",870.25,"less_hs",900,"some_college","less"
6616035,"black",0.5,1,0,45,29.5,28,4,1,1,15.5,9.83333333333333,7.5,0,0,0,1,0,0,3,0,0,0,0,0,0,1,3,6616035,0,2025,"less_hs",870.25,"less_hs",784,"college","less"
6616031,"black",0.5,0,0,45,25,33.5,3,4,1,15,16,7.5,5077680.2,0,0,0,0,0,3,4,98,0,0,0,0,1,3,6616031,0,2025,"less_hs",625,"college",1122.25,"some_college","less"
6616034,"black",0.5,0,1,45,25,28,3,4,1,13,16,7.5,0,0,0,1,0,0,3,0,0,0,0,0,0,1,3,6616034,0,2025,"less_hs",625,"college",784,"some_college","less"
6624032,"black",0,0,1,29.5,28.5,37,2,3,1,12,13.8333333333333,9,5228711.5,0,0,1,0,0,1,4,99,0,0,0,0,1,1,6624032,0,870.25,"less_hs",812.25,"some_college",1369,"hs","less"
