"YEAR","CASEID","SERIAL","REGION","STATEFIP","METRO","MSASIZE","COUNTY","METAREA","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HH_NUMKIDS","AGEYCHILD","HH_NUMADULTS","PERNUM","LINENO","MONTH","AGE","SEX","RACE","HISPAN","ASIAN","MARST","YRIMMIG","CITIZEN","BPL","MBPL","FBPL","RELATE","EDUC","EDUCYRS","SCHLCOLL","EMPSTAT","MULTJOBS","CLWKR","OCC2","OCC","IND2","IND","RETIRED","FULLPART","UHRSWORKT","EARNWEEK","PAIDHOUR","HOURWAGE","HRSATRATE","SPOUSEPRES","SPAGE","SPSEX","SPRACE","SPHISPAN","SPEDUC","SPEMPNOT","SPEMPSTAT","SPUSUALHRS","SPEARNWEEK","KIDUND18","HH_NUMOWNKIDS","KIDUND13","KIDUND1","KID1TO2","KID3TO5","KID6TO12","KID13TO17","NONHHCHILD","NOSCCRSN1","SCC_ALL","SCC_OWN","SCC_HH","SCC_HHNHHOWN","DIFFANY","ECYEST","ECPRIOR","ECNUM","ECFREQ","COVIDTELEW","COVIDPAID","COVIDUNAW","COVIDLOOK","ACT_CARENHH","ACT_SOCIAL","ACT_SPORTS","ACT_WORK","adultcare","childcare","primary_childcare","routine_housework","employment","employment_di","remote_work","gender","college","age_youngestchild","race","married","education"
2021,20210101210633,35,2,17,1,7,17000,1601,13,1,1,0,0,999,1,1,1,1,80,2,100,100,999,6,0,1,9900,9900,45500,10,41,316,99,5,99,99,9999,99999,9999,99999,1,99,9999,99999.99,99,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,2,99,0,99,99,99,99,1,1,0,330,0,0,0,0,0,60,"not in labor force","unemployed",NA,"Woman","College degree",NA,"Non-Hispanic White","not married","College degree+"
2021,20210101210641,36,3,48,2,7,48000,1921,16,5,1,1,3,0,2,1,1,1,41,2,100,244,999,1,43,4,30065,30065,30065,10,40,217,1,2,0,4,121,1520,200,6870,99,1,40,2884.61,2,999.99,999,1,36,1,100,244,40,0,3,999,99999.98,1,3,1,"Yes","No","No","Yes","No",0,99,535,535,535,535,1,99,0,99,99,2,99,1,99,0,195,0,0,0,445,445,65,"employed","employed","Yes","Woman","College degree",0,"Hispanic","married","College degree+"
2021,20210101210660,37,1,36,2,7,36103,5601,16,3,1,1,1,3,2,1,1,1,54,1,100,100,999,1,0,1,9900,9900,9900,10,42,320,99,1,1,6,124,2100,220,7270,99,1,57,99999.99,99,999.99,999,1,39,2,131,100,42,1,1,40,1326.92,1,1,1,"No","No","Yes","No","No",0,99,630,630,630,630,1,99,0,99,99,2,99,1,99,0,150,0,0,0,60,60,150,"employed","employed","Yes","Man","College degree",3,"Non-Hispanic White","married","College degree+"
2021,20210101210672,38,3,37,2,4,37000,3120,7,2,1,0,0,999,2,1,1,1,80,1,200,100,999,1,0,1,9900,9900,9900,10,30,213,99,5,99,99,9999,99999,9999,99999,1,99,9999,99999.99,99,999.99,999,1,80,2,200,100,16,0,3,999,99999.98,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,99,99,1,1,0,898,0,0,0,0,0,17,"not in labor force","unemployed",NA,"Man","No college degree",NA,"Multiple Races","married","Some college"
2021,20210101210677,39,1,34,2,7,34023,5601,14,1,1,0,0,999,1,1,1,1,52,1,100,100,999,4,0,1,9900,9900,9900,10,41,316,99,1,0,3,131,3870,300,9470,99,1,40,2884.61,2,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,0,1,1,2,1,99,1,99,0,445,60,0,0,0,0,15,"employed","employed","No","Man","College degree",NA,"Non-Hispanic White","not married","College degree+"
2021,20210101210693,40,1,36,2,7,36103,5601,13,1,1,0,0,999,1,1,1,1,59,1,100,100,999,6,0,1,9900,9900,9900,10,13,107,99,1,0,4,131,3870,240,7870,99,1,38,1346.15,1,39,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,1,99,1,99,0,485,0,442,0,0,0,0,"employed","employed","No","Man","No college degree",NA,"Non-Hispanic White","not married","Less than HS diploma"
2021,20210101210700,41,2,19,3,2,19000,0,13,2,1,0,0,999,2,1,1,1,52,2,100,100,999,1,0,1,9900,9900,9900,10,21,112,99,5,99,99,9999,99999,9999,99999,99,99,9999,99999.99,99,999.99,999,1,52,1,100,100,31,1,1,40,2884.61,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,99,99,1,1,20,715,0,0,20,0,0,60,"not in labor force","unemployed",NA,"Woman","No college degree",NA,"Non-Hispanic White","married","HS diploma, no college"
2021,20210101210716,42,3,12,2,7,12011,5000,14,1,1,0,0,999,1,1,1,1,65,2,100,100,999,3,0,1,9900,9900,9900,10,40,217,99,5,99,99,9999,99999,9999,99999,1,99,9999,99999.99,99,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,"No","No","No","No","No",0,99,0,0,0,0,1,99,0,99,99,99,99,1,1,0,700,0,0,0,0,0,0,"not in labor force","unemployed",NA,"Woman","College degree",NA,"Non-Hispanic White","not married","College degree+"
2021,20210101210721,43,3,12,1,6,12103,0,14,2,1,1,1,13,1,1,1,1,41,2,100,100,999,4,0,1,9900,9900,9900,10,40,217,1,1,0,4,190,7700,145,2190,99,1,50,1634.61,2,999.99,999,3,999,99,9999,9999,999,99,99,999,99999.99,1,1,0,"No","No","No","No","Yes",0,99,0,0,0,0,1,99,0,99,99,1,99,1,99,0,185,0,30,0,0,0,305,"employed","employed","No","Woman","College degree",13,"Non-Hispanic White","not married","College degree+"
2021,20210101210735,44,2,39,2,4,39133,1681,14,5,1,1,3,4,2,1,1,1,36,2,100,100,999,1,0,1,9900,9900,9900,10,41,316,1,1,0,4,125,2555,240,7860,99,1,40,1000,2,999.99,999,1,36,1,100,100,41,1,1,40,99999.98,1,3,1,"No","No","Yes","Yes","No",0,99,480,480,480,480,1,99,0,99,99,2,99,1,99,0,255,0,0,0,240,15,120,"employed","employed","Yes","Woman","College degree",4,"Non-Hispanic White","married","College degree+"
